question,usercode,low,main,high,type
q0,babbage,15,45,85,expert
q0,bourne,5,38,60,forecaster
q0,hopper,20,45,60,expert
q0,lovelace,10,45,65,expert
q0,matsumoto,3,24,60,forecaster
q0,rossum,40,65,80,forecaster
q0,sammet,1,8,40,forecaster
q0,shannon,5,25,50,expert
q0,stroustrup,5,25,65,forecaster
q0,torvalds,0,8,35,forecaster
q0,turing,15,40,65,expert
q1,babbage,5,27,70,expert
q1,bourne,3,16,45,forecaster
q1,hopper,7,15,23,expert
q1,lovelace,2,15,40,expert
q1,matsumoto,1,9,30,forecaster
q1,rossum,23,37,45,forecaster
q1,sammet,0,3,17,forecaster
q1,shannon,0,10,25,expert
q1,stroustrup,0,3,32,forecaster
q1,torvalds,0,4,20,forecaster
q1,turing,0,18,40,expert
q2,babbage,0,2,25,expert
q2,bourne,1,6,25,forecaster
q2,hopper,4,10,16,expert
q2,lovelace,0,1,3,expert
q2,matsumoto,0,4,10,forecaster
q2,rossum,1,4,5,forecaster
q2,sammet,0,1,5,forecaster
q2,shannon,0,5,20,expert
q2,stroustrup,0,2,10,forecaster
q2,torvalds,0,1,3,forecaster
q2,turing,0,4,25,expert
q3,babbage,0,1,20,expert
q3,bourne,1,3,15,forecaster
q3,hopper,0,3,6,expert
q3,lovelace,0,3,7,expert
q3,matsumoto,1,3,10,forecaster
q3,rossum,7,11,15,forecaster
q3,sammet,0,1,10,forecaster
q3,shannon,0,3,10,expert
q3,stroustrup,0,6,17,forecaster
q3,torvalds,0,1,4,forecaster
q3,turing,0,3,15,expert
q4,babbage,1,9,60,expert
q4,bourne,1,10,40,forecaster
q4,hopper,8,14,20,expert
q4,lovelace,5,15,50,expert
q4,matsumoto,1,5,16,forecaster
q4,rossum,7,12,15,forecaster
q4,sammet,0,3,12,forecaster
q4,shannon,0,4,15,expert
q4,stroustrup,0,8,35,forecaster
q4,torvalds,0,2,4,forecaster
q4,turing,0,12,25,expert
q5,babbage,1,6,57,expert
q5,bourne,1,3,18,forecaster
q5,hopper,0,3,6,expert
q5,lovelace,0,3,10,expert
q5,matsumoto,0,2,5,forecaster
q5,rossum,0,1,2,forecaster
q5,sammet,0,0,6,forecaster
q5,shannon,0,3,10,expert
q5,stroustrup,0,7,25,forecaster
q5,torvalds,0,1,3,forecaster
q5,turing,0,3,10,expert
q6,babbage,15,35,83,expert
q6,bourne,12,40,70,forecaster
q6,hopper,16,60,90,expert
q6,lovelace,10,40,70,expert
q6,matsumoto,10,38,83,forecaster
q6,rossum,25,55,75,forecaster
q6,sammet,10,35,65,forecaster
q6,shannon,30,60,85,expert
q6,stroustrup,10,40,70,forecaster
q6,torvalds,15,31,44,forecaster
q6,turing,40,70,85,expert